mode,trig,act,dev_trig,dev_act,installs,views,weight,n_rules,quota,spaces
trigger,timer,fan,Clock,Fan,0,2968,0.007979,1,18,HOME01 HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME13 HOME14 HOME17 HOME19 HOME20 OFFICE01 OFFICE04 FARM02
trigger,time,mower,Clock,Mower,3350,1742,0.007976,2,18,HOME06 HOME07
trigger,arrive,notify,PersonTracker,NotificationProvider,78739,0,0.007768,37,18,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,presence,speaker,PresenceSensor,Speaker,146,925,0.007594,2,18,HOME04 HOME06 HOME08 HOME12 HOME15 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB04 LAB05
trigger,phone,lock,PersonTracker,DoorLock,0,1332,0.007577,1,18,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB04
trigger,arrive,switch,PersonTracker,Switch,11766,0,0.007178,36,17,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,presence,light.on,PresenceSensor,Light,145,222,0.007050,3,14,HOME04 HOME06 HOME08 HOME12 HOME15 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB04 LAB05
trigger,time,vacuum,Clock,RobotVacuumCleaner,208,158,0.007045,4,17,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME12 HOME13 HOME15 HOME18 LAB01
trigger,button,switch,Button,Switch,41085,0,0.006869,35,16,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM04 FACT01 FACT02
trigger,weather,light.on,WeatherProvider,Light,18779,0,0.006854,37,13,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM02 FARM03 FACT01 FACT05
trigger,arrive,thermostat,PersonTracker,Thermostat,38582,0,0.006842,37,16,HOME02 HOME05 HOME06 HOME07 HOME11 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE06
trigger,weather,light.color,WeatherProvider,Light,40311,0,0.006564,34,13,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM02 FARM03 FACT01 FACT05
trigger,button,fan,Button,Fan,49,73,0.006452,3,15,HOME01 HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME13 HOME19 HOME20 OFFICE01
trigger,contact,cover,ContactSensor,WindowCovering,0,79,0.006166,1,15,HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME11 HOME13 HOME15 HOME18 HOME19 OFFICE01
trigger,smoke,thermostat,SmokeDetector,Thermostat,39617,0,0.006071,30,15,HOME05 HOME06 HOME07 HOME14 HOME18 HOME20
trigger,motion,light.color,MotionSensor,Light,5908,0,0.005606,30,11,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
