src,sid,score,trig,dev_trig,act,dev_act,acts,n_act,mobile,text_ok,text,note
ifttt_pop,ifttt_pop:hwPUYeNs,115,message,MessageSender,notify,NotificationProvider,notify,1,0,0,,News & information
ifttt_pop,ifttt_pop:HUgVD83E,137,security,Camera,lock,DoorLock,lock|camera,2,0,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:KdPyKc7e,49,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:qQL4FrpC,153,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:ugs7LYvX,169,threshold,TemperatureSensor,notify,NotificationProvider,notify,1,1,0,,Environment control & monitoring
ifttt_pop,ifttt_pop:FDtfSwAn,25,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:We4hbCVK,656,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:BQEUYaDN,217,,,coffee,CoffeeMaker,coffee,1,1,0,,Finance & payments
ifttt_pop,ifttt_pop:qu2zr7Xd,91,security,Camera,lock,DoorLock,lock|camera,2,0,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:W7qesT3X,501,threshold,TemperatureSensor,thermostat,Thermostat,thermostat|notify,2,0,0,,Environment control & monitoring
ifttt_pop,ifttt_pop:Rf5C69GU,41,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:ZH5UcyRh,69,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:Xa6VREUb,62,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:xYBtpPnJ,29,,,notify,NotificationProvider,notify,1,1,0,,Task management & to-dos
ifttt_pop,ifttt_pop:hFrGXTSD,74,calendar,CalendarProvider,notify,NotificationProvider,notify,1,0,0,,Not Found
ifttt_pop,ifttt_pop:RhsLPUR7,43,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:tB7ADZQN,245,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:CHS3zxM4,144,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:tSU6regk,152,,,notify,NotificationProvider,notify|coffee,2,1,0,,Finance & payments
ifttt_pop,ifttt_pop:jDeBFW2q,39,,,notify,NotificationProvider,notify,1,1,0,,News & information
ifttt_pop,ifttt_pop:ANeBbMAZ,36,,,camera,Camera,camera,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:mULTzYXP,42,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:TafsT2nY,93,,,notify,NotificationProvider,notify,1,1,0,,Finance & payments
ifttt_pop,ifttt_pop:NF76t2PX,173,,,camera,Camera,camera,1,1,0,,Music
ifttt_pop,ifttt_pop:ttknpWLQ,65,security,Camera,notify,NotificationProvider,notify,1,1,0,,Developer tools
ifttt_pop,ifttt_pop:kfSeLKk2,26,calendar,CalendarProvider,notify,NotificationProvider,notify,1,0,0,,Task management & to-dos
ifttt_pop,ifttt_pop:a7QSdqPL,164,calendar,CalendarProvider,notify,NotificationProvider,notify,1,0,0,,Time management & tracking
ifttt_pop,ifttt_pop:qKGdpQMv,80,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:B8FqXALf,98,weather,WeatherProvider,notify,NotificationProvider,notify|humidity,2,1,0,,Weather
ifttt_pop,ifttt_pop:KZSmjspg,195,security,Camera,notify,NotificationProvider,notify,1,1,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:zHK8RQm4,24,,,notify,NotificationProvider,notify,1,1,0,,Task management & to-dos
ifttt_pop,ifttt_pop:wFBd4bpH,16,,,notify,NotificationProvider,notify,1,1,0,,Task management & to-dos
ifttt_pop,ifttt_pop:dvMAk78q,48,security,Camera,camera,Camera,camera,1,1,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:V2AtHmwn,40,calendar,CalendarProvider,notify,NotificationProvider,notify|evcharger,2,0,0,,Not Found
ifttt_pop,ifttt_pop:UY9irFgJ,184,security,Camera,notify,NotificationProvider,notify,1,1,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:Q7NXpmEd,11,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:hvUaFK2D,25,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:ixgKdtb4,20,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:peNijwbM,22,,,camera,Camera,camera,1,1,0,,Not Found
ifttt_pop,ifttt_pop:vb5jqLHN,23,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:ax9Ddstm,21,calendar,CalendarProvider,notify,NotificationProvider,notify,1,0,0,,Shopping
ifttt_pop,ifttt_pop:dTJuvSmB,22,button,Button,notify,NotificationProvider,notify,1,1,0,,Notes
ifttt_pop,ifttt_pop:iX3fjbdh,61,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:tdawj5DC,23,,,notify,NotificationProvider,notify,1,1,0,,News & information
ifttt_pop,ifttt_pop:b38XEpia,22,message,MessageSender,notify,NotificationProvider,notify,1,0,0,,News & information
ifttt_pop,ifttt_pop:TG6VEpzn,15,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:q4c9eMD8,96,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:fi2vrE5m,40,,,notify,NotificationProvider,notify,1,1,0,,Task management & to-dos
ifttt_pop,ifttt_pop:nANFehxX,11,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:uZT9s8gf,16,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:iyVPGThX,16,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:SjQvknKu,20,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Not Found
ifttt_pop,ifttt_pop:r6U9PJsX,39,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Notifications
ifttt_pop,ifttt_pop:Akh5TyJU,16,,,notify,NotificationProvider,notify,1,1,0,,Developer tools
ifttt_pop,ifttt_pop:hCvgUMTK,21,time,Clock,camera,Camera,camera,1,0,0,,Calendars & scheduling
